date,mei
1871-01-31,0.032
1871-02-28,-0.055
1871-03-31,0.005
1871-04-30,0.42
1871-05-31,0.195
1871-06-30,-0.639
1871-07-31,-0.8420000000000001
1871-08-31,-0.474
1871-09-30,-0.14300000000000002
1871-10-31,0.07200000000000001
1871-11-30,0.107
1871-12-31,-0.20600000000000002
1872-01-31,-0.633
1872-02-29,-0.875
1872-03-31,-0.8640000000000001
1872-04-30,-0.664
1872-05-31,-0.59
1872-06-30,-0.618
1872-07-31,-0.6579999999999999
1872-08-31,-0.795
1872-09-30,-0.8
1872-10-31,-0.669
1872-11-30,-0.6509999999999999
1872-12-31,-0.847
1873-01-31,-0.93
1873-02-28,-0.991
1873-03-31,-1.301
1873-04-30,-1.489
1873-05-31,-1.0659999999999998
1873-06-30,-0.6890000000000001
1873-07-31,-0.657
1873-08-31,-0.6459999999999999
1873-09-30,-0.318
1873-10-31,-0.012
1873-11-30,-0.355
1873-12-31,-0.54
1874-01-31,-0.611
1874-02-28,-0.802
1874-03-31,-1.036
1874-04-30,-1.275
1874-05-31,-1.258
1874-06-30,-0.9640000000000001
1874-07-31,-0.902
1874-08-31,-1.143
1874-09-30,-1.148
1874-10-31,-1.003
1874-11-30,-0.7709999999999999
1874-12-31,-0.679
1875-01-31,-0.774
1875-02-28,-0.6859999999999999
1875-03-31,-0.67
1875-04-30,-0.958
1875-05-31,-1.315
1875-06-30,-1.8119999999999998
1875-07-31,-1.964
1875-08-31,-1.5530000000000002
1875-09-30,-1.295
1875-10-31,-0.993
1875-11-30,-0.682
1875-12-31,-0.688
1876-01-31,-0.878
1876-02-29,-1.196
1876-03-31,-1.504
1876-04-30,-1.6909999999999998
1876-05-31,-1.8780000000000001
1876-06-30,-1.845
1876-07-31,-1.435
1876-08-31,-0.867
1876-09-30,-0.39299999999999996
1876-10-31,-0.071
1876-11-30,0.08800000000000001
1876-12-31,0.17
1877-01-31,0.193
1877-02-28,0.33399999999999996
1877-03-31,0.373
1877-04-30,0.353
1877-05-31,0.441
1877-06-30,0.69
1877-07-31,1.318
1877-08-31,1.6869999999999998
1877-09-30,1.788
1877-10-31,2.07
1877-11-30,2.165
1877-12-31,1.7630000000000001
1878-01-31,1.8769999999999998
1878-02-28,2.3609999999999998
1878-03-31,2.495
1878-04-30,1.883
1878-05-31,1.006
1878-06-30,0.58
1878-07-31,0.54
1878-08-31,0.235
1878-09-30,-0.371
1878-10-31,-0.845
1878-11-30,-0.9109999999999999
1878-12-31,-0.9209999999999999
1879-01-31,-1.005
1879-02-28,-0.7290000000000001
1879-03-31,-0.445
1879-04-30,-0.447
1879-05-31,-0.956
1879-06-30,-1.18
1879-07-31,-0.8270000000000001
1879-08-31,-0.607
1879-09-30,-0.523
1879-10-31,-0.557
1879-11-30,-0.72
1879-12-31,-1.031
1880-01-31,-1.057
1880-02-29,-0.83
1880-03-31,-0.899
1880-04-30,-1.069
1880-05-31,-0.965
1880-06-30,-0.595
1880-07-31,0.113
1880-08-31,0.39399999999999996
1880-09-30,0.083
1880-10-31,-0.228
1880-11-30,-0.128
1880-12-31,0.17
1881-01-31,0.14800000000000002
1881-02-28,0.215
1881-03-31,0.174
1881-04-30,0.08199999999999999
1881-05-31,-0.105
1881-06-30,-0.062
1881-07-31,-0.153
1881-08-31,-0.5589999999999999
1881-09-30,-0.6559999999999999
1881-10-31,-0.389
1881-11-30,-0.499
1881-12-31,-0.7759999999999999
1882-01-31,-0.598
1882-02-28,-0.461
1882-03-31,-0.585
1882-04-30,-0.799
1882-05-31,-1.028
1882-06-30,-0.97
1882-07-31,-0.6859999999999999
1882-08-31,-0.436
1882-09-30,-0.267
1882-10-31,-0.261
1882-11-30,-0.379
1882-12-31,-0.40399999999999997
1883-01-31,-0.562
1883-02-28,-0.628
1883-03-31,-0.562
1883-04-30,-0.672
1883-05-31,-1.07
1883-06-30,-0.898
1883-07-31,-0.284
1883-08-31,-0.228
1883-09-30,-0.314
1883-10-31,-0.01
1883-11-30,0.004
1883-12-31,-0.012
1884-01-31,0.094
1884-02-29,0.121
1884-03-31,0.11199999999999999
1884-04-30,0.369
1884-05-31,0.7859999999999999
1884-06-30,0.725
1884-07-31,0.368
1884-08-31,0.433
1884-09-30,0.628
1884-10-31,0.525
1884-11-30,0.33299999999999996
1884-12-31,0.43200000000000005
1885-01-31,0.639
1885-02-28,0.599
1885-03-31,0.262
1885-04-30,0.247
1885-05-31,0.588
1885-06-30,0.414
1885-07-31,-0.044000000000000004
1885-08-31,0.21100000000000002
1885-09-30,0.506
1885-10-31,0.804
1885-11-30,1.216
1885-12-31,0.914
1886-01-31,0.384
1886-02-28,0.11199999999999999
1886-03-31,0.016
1886-04-30,-0.10300000000000001
1886-05-31,-0.619
1886-06-30,-1.274
1886-07-31,-1.466
1886-08-31,-1.351
1886-09-30,-1.228
1886-10-31,-1.2329999999999999
1886-11-30,-1.306
1886-12-31,-1.272
1887-01-31,-1.4509999999999998
1887-02-28,-1.5730000000000002
1887-03-31,-1.3130000000000002
1887-04-30,-1.088
1887-05-31,-1.2570000000000001
1887-06-30,-0.9259999999999999
1887-07-31,-0.066
1887-08-31,0.19399999999999998
1887-09-30,0.113
1887-10-31,-0.154
1887-11-30,-0.314
1887-12-31,-0.155
1888-01-31,0.036000000000000004
1888-02-29,0.389
1888-03-31,0.792
1888-04-30,0.948
1888-05-31,0.8740000000000001
